id,zbMATH id,first name,middle name,surname,GENDER FROM ALGORITHM
1091,zhou.ben-da,ben,da,zhou,u
5608,di-castro.agnese,agnese,,di-castro,f
15024,szarek.michael,michael,,szarek,m
20764,watanabe.yumiko,yumiko,,watanabe,f
34006,liu.shaoqing,shaoqing,,liu,u
39761,zhang.kelong,kelong,,zhang,u
55340,yu.jinxiang,jinxiang,,yu,u
59785,zhang.yuecheng,yuecheng,,zhang,u
69820,yamada.kenjiro,kenjiro,,yamada,m
74277,zhang.po,po,,zhang,u
82955,wai.hon-kit,hon,kit,wai,u
94702,sun.bao-wen,bao,wen,sun,u
101806,lee.byoung-chan,byoung,chan,lee,u
116470,yang.qunfeng,qunfeng,,yang,u
133364,nickolas.peter,peter,,nickolas,m
137884,di-nardo.rosario,rosario,,di-nardo,u
152980,okuno.hiroshi-g,hiroshi,g,okuno,m
164342,zhang.shunpu,shunpu,,zhang,u
175249,agarwal.praveen,praveen,,agarwal,m
177102,hoidn.phoebe,phoebe,,hoidn,f
182252,pontier.jacques,jacques,,pontier,m
196594,king.james-r,james,r,king,m
212753,samajova.helena,helena,,samajova,f
219238,lowther.george,george,,lowther,u
227789,robertson.michael-p,michael,p,robertson,m
231369,vazquez.carlos-renato,carlos,renato,vazquez,m
240504,xu.yuan,yuan,,xu,u
261953,ptashnyk.b-jo,b,jo,ptashnyk,u
273896,landsberg.max,max,,landsberg,m
281325,huang.xuanping,xuanping,,huang,u
285240,jahren.bjorn,bjorn,,jahren,m
299572,bose.smarajit,smarajit,,bose,u
310287,ginsburg.geoffrey-s,geoffrey,s,ginsburg,m
313925,zhang.chao-zhu,chao,zhu,zhang,u
4970,yu.jingbo,jingbo,,yu,u
13383,lehrer.ehud,ehud,,lehrer,m
19859,lin.shanghsien,shanghsien,,lin,u
26115,gulten.dilek,dilek,,gulten,f
39504,takeuchi.masaru,masaru,,takeuchi,m
50657,ruiz-salguero.carlos,carlos,,ruiz-salguero,m
58016,luo.xiongping,xiongping,,luo,u
69021,van-tuyl.adam,adam,,van-tuyl,m
73793,hu.jwu-sheng,jwu,sheng,hu,u
80651,zhu.shengzhi,shengzhi,,zhu,u
90836,johnson.eric-e,eric,e,johnson,m
99641,pierre.percy-a,percy,a,pierre,m
114214,vuono.charles,charles,,vuono,m
123945,ching.wai-king,wai,king,ching,u
135319,carvalho.maria-conception,maria,conception,carvalho,f
148788,rong.feng,feng,,rong,u
163244,yu.bowen,bowen,,yu,u
174374,kuhn.paul,paul,,kuhn,m
176862,ohyanagi.shigeki,shigeki,,ohyanagi,m
180818,huang.zongyuan,zongyuan,,huang,u
193441,andronov.alexander,alexander,,andronov,m
211223,liu.luoluo,luoluo,,liu,u
216242,limbupasiriporn.jirapha,jirapha,,limbupasiriporn,u
222911,liu.cai-gui,cai,gui,liu,u
230024,boliac.rodica,rodica,,boliac,f
238275,udding.jan-tijmen,jan,tijmen,udding,u
261331,rosencrans.steve,steve,,rosencrans,m
272586,liu.hsueh-chuan,hsueh,chuan,liu,u
279327,jong.dae,dae,,jong,u
282239,siebert.eberhard,eberhard,,siebert,m
298226,dwork.bernard-m,bernard,m,dwork,m
310060,rados.gusztav,gusztav,,rados,m
313751,lange.frieder-jens,frieder,jens,lange,m
2757,mohanty.sara,sara,,mohanty,f
7894,beder.jesse-s,jesse,s,beder,m
18782,wagenmaker.timothy-r,timothy,r,wagenmaker,m
25252,maeda.yasuyuki,yasuyuki,,maeda,m
35807,yuan.chunyang,chunyang,,yuan,u
40470,zeriahi.ahmed,ahmed,,zeriahi,m
56427,chen.cheng-wei,cheng,wei,chen,u
66446,mezroui.yahya,yahya,,mezroui,m
71201,yaguchi.syuichi,syuichi,,yaguchi,u
77621,brauchart.johann-s,johann,s,brauchart,m
83162,sjogren.niclas,niclas,,sjogren,m
98714,calkin.john-wilson,john,wilson,calkin,m
107817,pan.luquan,luquan,,pan,u
120522,litvin.igor-n,igor,n,litvin,m
134489,ayache.benhadid,benhadid,,ayache,u
147646,ma.yamin,yamin,,ma,u
153288,cheng.leming,leming,,cheng,u
170165,stankova-frenkel.zvezdelina-e,zvezdelina,e,stankova-frenkel,f
176275,choi.junkyun,junkyun,,choi,u
180745,bianchi.giuliana,giuliana,,bianchi,f
191143,reingold.haim,haim,,reingold,m
204134,shaddick.gavin,gavin,,shaddick,m
215351,lee.tack-wang,tack,wang,lee,u
221919,dichev.angel-v,angel,v,dichev,u
228272,janusauskas.algimantas,algimantas,,janusauskas,m
238027,kumar.ravi-k,ravi,k,kumar,m
246871,petzka.henning,henning,,petzka,m
266932,yang.paul,paul,,yang,m
275792,roe.robert-p,robert,p,roe,m
281946,leahy.francis-j-iii,francis,j,leahy,u
294434,shang.yanwen,yanwen,,shang,u
305691,sanchez.percy-f,percy,f,sanchez,m
310968,white.gregory-j,gregory,j,white,m
