"Article_ID","Full_Title","Link_to_Article","Journal","Year","Month","First Author Gender","pubmed_query","pubmed_id","ForeName","LastName"
"Aaby et al. (2010)","Non-specific effects of standard measles vaccine at 4.5 and 9 months of age on childhood mortality: randomised controlled trial","","BMJ","2010","12 - Dec","Male","Aaby 2010 specific effects standard measles vaccine months childhood mortality randomised controlled trial","21118875.0","Peter","Aaby"
"Aaron et al. (2007)","Tiotropium in Combination with Placebo| Salmeterol| or Fluticasone–Salmeterol for Treatment of Chronic Obstructive Pulmonary Disease: A Randomized Trial","http://annals.org/article.aspx?articleid=734106","Annals of Internal Medicine","2007","04 - Apr","Male","Aaron 2007 Tiotropium Combination Placebo Salmeterol Fluticasone–Salmeterol Treatment Chronic Obstructive Pulmonary Disease Randomized Trial","17310045.0","Shawn D","Aaron"
"Abbott et al. (2004)","?-Blocker Use in Long-term Dialysis Patients Association With Hospitalized Heart Failure and Mortality","http://archinte.jamanetwork.com/article.aspx?articleid=217784","Archives of Internal Medicine","2004","12 - Dec","Male","Abbott 2004 Blocker Dialysis Patients Association Hospitalized Heart Failure Mortality","15596637.0","Kevin C","Abbott"
"Abdulla et al. (2008)","Safety and Immunogenicity of RTS|S/AS02D Malaria Vaccine in Infants","http://www.nejm.org/doi/pdf/10.1056/NEJMoa0807773","NEJM","2008","12 - Dec","Male","Abdulla 2008 Safety Immunogenicity AS02D Malaria Vaccine Infants","19064623.0","Salim","Abdulla"
"Aboa-Eboule et al. (2007)","Job Strain and Risk of Acute Recurrent Coronary Heart Disease Events","http://jama.jamanetwork.com/article.aspx?articleid=209121","JAMA","2007","10 - Oct","Female","Aboa-Eboule 2007 Strain Acute Recurrent Coronary Heart Disease Events","17925517.0","Corine","Aboa-Eboulé"
"Abou-Setta et al. (2011)","Comparative Effectiveness of Pain Management Interventions for Hip Fracture: A Systematic Review","http://annals.org/article.aspx?articleid=747072","Annals of Internal Medicine","2011","08 - Aug","Male","Abou-Setta 2011 Comparative Effectiveness Management Interventions Fracture Systematic Review","21844549.0","Ahmed M","Abou-Setta"
"Abraham et al. (2002)","Cardiac Resynchronization in Chronic Heart Failure","http://www.nejm.org/doi/full/10.1056/NEJMoa013168","NEJM","2002","06 - Jun","Male","Abraham 2002 Cardiac Resynchronization Chronic Heart Failure","12063368.0","William T","Abraham"
"Abrahamsen et al. (2005)","Utility of testing for monoclonal bands in serum of patients with suspected osteoporosis: retrospective| cross sectional study","","BMJ","2005","04 - Apr","Male","Abrahamsen 2005 Utility testing monoclonal bands serum patients suspected osteoporosis retrospective cross sectional study","15767267.0","Bo","Abrahamsen"
"Abrams et al. (2003)","Short-Term Effects of Cannabinoids in Patients with HIV-1 Infection: A Randomized| Placebo-Controlled Clinical Trial","http://annals.org/article.aspx?articleid=716660","Annals of Internal Medicine","2003","08 - Aug","Male","Abrams 2003 Short Effects Cannabinoids Patients Infection Randomized Placebo Controlled Clinical Trial","12965981.0","Donald I","Abrams"
"Aburto et al. (2013)","Effect of lower sodium intake on health: systematic review and meta-analyses","","BMJ","2013","04 - Apr","Female","Aburto 2013 Effect lower sodium intake health systematic review analyses","23558163.0","Nancy J","Aburto"
"Aburto et al. (2013)","Effect of increased potassium intake on cardiovascular risk factors and disease: systematic review and meta-analyses","","BMJ","2013","04 - Apr","Female","Aburto 2013 Effect increased potassium intake cardiovascular factors disease systematic review analyses","23558164.0","Nancy J","Aburto"
"Aceng et al. (2005)","Rectal artemether versus intravenous quinine for the treatment of cerebral malaria in children in Uganda: randomised clinical trial","","BMJ","2005","02 - Feb","Female","Aceng 2005 Rectal artemether versus intravenous quinine treatment cerebral malaria children Uganda randomised clinical trial","15705690.0","Jane Ruth","Aceng"
"Acker et al. (1998)","Hyperkalemia in Hospitalized Patients Causes| Adequacy of Treatment| and Results of an Attempt to Improve Physician Compliance With Published Therapy Guidelines","http://archinte.jamanetwork.com/article.aspx?articleid=191906","Archives of Internal Medicine","1998","04 - Apr","Male","Acker 1998 Hyperkalemia Hospitalized Patients Causes Adequacy Treatment Results Attempt Improve Physician Compliance Published Therapy Guidelines","9570179.0","C G","Acker"
"ACTIVE Writing Group (2006)","Clopidogrel plus aspirin versus oral anticoagulation for atrial fibrillation in the Atrial fibrillation Clopidogrel Trial with Irbesartan for prevention of Vascular Events (ACTIVE W): a randomised controlled trial","http://www.thelancet.com/journals/lancet/article/PIIS0140-6736(06)68845-4/abstract","The Lancet","2006","06 - Jun","Unknown","2006 Clopidogrel aspirin versus anticoagulation atrial fibrillation Atrial fibrillation Clopidogrel Trial Irbesartan prevention Vascular Events ACTIVE randomised controlled trial","","",""
"Adair et al. (2013)","Associations of linear growth and relative weight gain during early life with adult health and human capital in countries of low and middle income: findings from five birth cohort studies","http://www.thelancet.com/journals/lancet/article/PIIS0140-6736(13)60103-8/abstract","The Lancet","2013","08 - Aug","Female","Adair 2013 Associations linear growth relative weight during early adult health human capital countries middle income findings birth cohort studies","23541370.0","Linda S","Adair"
"Adam et al. (2013)","Comparative Effectiveness of New Oral Anticoagulants and Standard Thromboprophylaxis in Patients Having Total Hip or Knee Replacement: A Systematic Review","http://annals.org/article.aspx?articleid=1726824","Annals of Internal Medicine","2013","08 - Aug","Male","Adam 2013 Comparative Effectiveness Anticoagulants Standard Thromboprophylaxis Patients Having Total Replacement Systematic Review","24026260.0","Soheir S","Adam"
"Adams et al. (2009)","Prior Authorization for Antidepressants in Medicaid Effects Among Disabled Dual Enrollees","http://archinte.jamanetwork.com/article.aspx?articleid=414905","Archives of Internal Medicine","2009","04 - Apr","Female","Adams 2009 Prior Authorization Antidepressants Medicaid Effects Among Disabled Enrollees","19398686.0","Alyce S","Adams"
"Addelorato et al. (2007)","Effectiveness and safety of baclofen for maintenance of alcohol abstinence in alcohol-dependent patients with liver cirrhosis: randomised| double-blind controlled study","http://www.thelancet.com/journals/lancet/article/PIIS0140-6736(07)61814-5/abstract","The Lancet","2007","12 - Dec","Male","Addelorato 2007 Effectiveness safety baclofen maintenance alcohol abstinence alcohol dependent patients liver cirrhosis randomised double blind controlled study","18068515.0","Giovanni","Addolorato"
"Ades et al. (1999)","Determinants of Physical Functioning in Coronary Patients:   Response to Cardiac Rehabilitation","http://archinte.jamanetwork.com/article.aspx?articleid=485157","Archives of Internal Medicine","1999","10 - Oct","Male","Ades 1999 Determinants Physical Functioning Coronary Patients Response Cardiac Rehabilitation","10547176.0","P A","Ades"
"Adhikari et al. (2007)","Effect of nitric oxide on oxygenation and mortality in acute lung injury: systematic review and meta-analysis","","BMJ","2007","04 - Apr","Male","Adhikari 2007 Effect nitric oxide oxygenation mortality acute injury systematic review analysis","17383982.0","Neill K J","Adhikari"
"Adler et al. (2000)","Association of systolic blood pressure with macrovascular and microvascular complications of type 2 diabetes (UKPDS 36): prospective observational study","","BMJ","2000","08 - Aug","Female","Adler 2000 Association systolic blood pressure macrovascular microvascular complications diabetes UKPDS prospective observational study","10938049.0","A I","Adler"
"Adu et al. (2003)","Interleukin-2 receptor monoclonal antibodies in renal transplantation: meta-analysis of randomised trials","","BMJ","2003","04 - Apr","Unknown","Adu 2003 Interleukin receptor monoclonal antibodies renal transplantation analysis randomised trials","12689974.0","Dwomoa","Adu"
"Adzick et al. (2000)","Pediatric Surgery","http://www.nejm.org/doi/full/10.1056/NEJM200006083422307","NEJM","2000","06 - Jun","Male","Adzick 2000 Pediatric Surgery","10833212.0","N S","Adzick"
"Ageno et al. (2002)","Plasma Measurement of D-Dimer Levels for the Early Diagnosis of Ischemic Stroke Subtypes","http://archinte.jamanetwork.com/article.aspx?articleid=754794","Archives of Internal Medicine","2002","12 - Dec","Male","Ageno 2002 Plasma Measurement Dimer Levels Early Diagnosis Ischemic Stroke Subtypes","12456231.0","Walter","Ageno"
"Agerbo et al. (2001)","Risk of suicide in relation to income level in people admitted to hospital with mental illness: nested case-control study","","BMJ","2001","02 - Feb","Male","Agerbo 2001 suicide relation income level people admitted hospital mental illness nested control study","11159656.0","E","Agerbo"
"Agertoft et al. (2000)","Effect of Long-Term Treatment with Inhaled Budesonide on Adult Height in Children with Asthma","http://www.nejm.org/doi/full/10.1056/NEJM200010123431502","NEJM","2000","10 - Oct","Male","Agertoft 2000 Effect Treatment Inhaled Budesonide Adult Height Children Asthma","11027740.0","L","Agertoft"
"Agnelli et al. (2002)","Thrombolysis vs Heparin in the Treatment of Pulmonary Embolism A Clinical Outcome–Based Meta-analysis","http://archinte.jamanetwork.com/article.aspx?articleid=754799","Archives of Internal Medicine","2002","12 - Dec","Male","Agnelli 2002 Thrombolysis Heparin Treatment Pulmonary Embolism Clinical Outcome–Based analysis","12456225.0","Giancarlo","Agnelli"
"Ahlgren et al. (2004)","Growth Patterns and the Risk of Breast Cancer in Women","http://www.nejm.org/doi/pdf/10.1056/NEJMoa040576","NEJM","2004","10 - Oct","Male","Ahlgren 2004 Growth Patterns Breast Cancer Women","15483280.0","Martin","Ahlgren"
"Ahn et al. (2007)","Adiposity| Adult Weight Change| and Postmenopausal Breast Cancer Risk","http://archinte.jamanetwork.com/article.aspx?articleid=413317","Archives of Internal Medicine","2007","10 - Oct","Female","Ahn 2007 Adiposity Adult Weight Change Postmenopausal Breast Cancer","17954804.0","Jiyoung","Ahn"
"Aiken et al. (2011)","Risk and causes of paediatric hospital-acquired bacteraemia in Kilifi District Hospital| Kenya: a prospective cohort study","http://www.thelancet.com/journals/lancet/article/PIIS0140-6736(11)61622-X/abstract","The Lancet","2011","12 - Dec","Male","Aiken 2011 causes paediatric hospital acquired bacteraemia Kilifi District Hospital Kenya prospective cohort study","22133536.0","Alexander M","Aiken"
"Aithal et al. (1999)","Accuracy of hepatic adverse drug reaction reporting in one English health region","","BMJ","1999","12 - Dec","Male","Aithal 1999 Accuracy hepatic adverse reaction reporting English health region","10591713.0","G P","Aithal"
"Akesson et al. (2007)","Combined Effect of Low-Risk Dietary and Lifestyle Behaviors in Primary Prevention of Myocardial Infarction in Women","http://archinte.jamanetwork.com/article.aspx?articleid=413349","Archives of Internal Medicine","2007","10 - Oct","Female","Akesson 2007 Combined Effect Dietary Lifestyle Behaviors Primary Prevention Myocardial Infarction Women","17954808.0","Agneta","Akesson"
"Akiyama et al. (2001)","RESUMPTION OF DRIVING AFTER LIFE-THREATENING VENTRICULAR  TACHYARRHYTHMIA","http://www.nejm.org/doi/pdf/10.1056/NEJM200108093450601","NEJM","2001","08 - Aug","Male","Akiyama 2001 RESUMPTION DRIVING AFTER THREATENING VENTRICULAR TACHYARRHYTHMIA","11496849.0","T","Akiyama"
"Alamowitch et al. (2001)","Risk| causes| and prevention of ischaemic stroke in elderly patients with symptomatic internal-carotid-artery stenosis","http://www.thelancet.com/journals/lancet/article/PIIS0140-6736(00)04332-4/abstract","The Lancet","2001","04 - Apr","Female","Alamowitch 2001 causes prevention ischaemic stroke elderly patients symptomatic internal carotid artery stenosis","11323042.0","S","Alamowitch"
"Albalak et al. (2007)","Rachel Albalak| PhD; Richard J. O’Brien| MD; J. Steve Kammerer| MBA; Sean M. O’Brien| PhD; Suzanne M. Marks| MPH| MA; Kenneth G. Castro| MD; Marisa Moore| MD","http://archinte.jamanetwork.com/article.aspx?articleid=770021","Archives of Internal Medicine","2007","12 - Dec","Female","Albalak 2007 Rachel Albalak Richard O’Brien Steve Kammerer O’Brien Suzanne Marks Kenneth Castro Marisa Moore","","",""
"Albert et al. (2002)","Nut Consumption and Decreased Risk of Sudden Cardiac Death in the Physicians' Health Study","http://archinte.jamanetwork.com/article.aspx?articleid=211693","Archives of Internal Medicine","2002","06 - Jun","Female","Albert 2002 Consumption Decreased Sudden Cardiac Death Physicians Health Study","12076237.0","Christine M","Albert"
"Albert et al. (2002)","BLOOD LEVELS OF LONG-CHAIN n–3 FATTY ACIDS  AND THE RISK OF SUDDEN DEATH","http://www.nejm.org/doi/pdf/10.1056/NEJMoa012918","NEJM","2002","04 - Apr","Female","Albert 2002 BLOOD LEVELS CHAIN FATTY ACIDS SUDDEN DEATH","11948270.0","Christine M","Albert"
"Albrecht et al. (2001)","NELFINAVIR| EFAVIRENZ| OR BOTH AFTER THE FAILURE OF NUCLEOSIDE  TREATMENT OF HIV INFECTION","http://www.nejm.org/doi/pdf/10.1056/NEJM200108093450602","NEJM","2001","08 - Aug","Female","Albrecht 2001 NELFINAVIR EFAVIRENZ AFTER FAILURE NUCLEOSIDE TREATMENT INFECTION","11496850.0","M A","Albrecht"
"Albrecht et al. (2006)","Reemergence of Gram-negative Health Care–Associated Bloodstream Infections","http://archinte.jamanetwork.com/article.aspx?articleid=410516","Archives of Internal Medicine","2006","06 - Jun","Female","Albrecht 2006 Reemergence negative Health Care–Associated Bloodstream Infections","16801511.0","Svenja J","Albrecht"
"Aldrich et al. (2010)","Lung Function in Rescue Workers at the World Trade Center after 7 Years","http://www.nejm.org/doi/pdf/10.1056/NEJMoa0910087","NEJM","2010","04 - Apr","Male","Aldrich 2010 Function Rescue Workers World Trade Center after Years","20375403.0","Thomas K","Aldrich"
"Aldridge et al. (2014)","National Hospice Survey Results:   For-Profit Status| Community Engagement| and Service","http://archinte.jamanetwork.com/article.aspx?articleid=1832198","Archives of Internal Medicine","2014","04 - Apr","Female","Aldridge 2014 National Hospice Survey Results Profit Status Community Engagement Service","24567076.0","Melissa D","Aldridge"
"Aleman et al. (2003)","Involved-Field Radiotherapy for Advanced Hodgkin's Lymphoma","http://www.nejm.org/doi/full/10.1056/NEJMoa022628","NEJM","2003","06 - Jun","Female","Aleman 2003 Involved Field Radiotherapy Advanced Hodgkin Lymphoma","12802025.0","Berthe M P","Aleman"
"Alexander et al. (1999)","Evaluating Hypertension Control in a Managed Care Setting","http://archinte.jamanetwork.com/article.aspx?articleid=1105655","Archives of Internal Medicine","1999","12 - Dec","Male","Alexander 1999 Evaluating Hypertension Control Managed Setting","10597757.0","M","Alexander"
"Alexander et al. (2000)","Suicide by patients: questionnaire study of its effect on consultant psychiatrists","","BMJ","2000","06 - Jun","Male","Alexander 2000 Suicide patients questionnaire study effect consultant psychiatrists","10845964.0","D A","Alexander"
"Alexander et al. (2003)","Natural History of Benign Solid and Cystic Thyroid Nodules  Natural History of Benign Solid and Cystic Thyroid Nodules","http://annals.org/article.aspx?articleid=716070","Annals of Internal Medicine","2003","02 - Feb","Male","Alexander 2003 Natural History Benign Solid Cystic Thyroid Nodules Natural History Benign Solid Cystic Thyroid Nodules","12585829.0","Erik K","Alexander"
