"","title","genderCoded"
"1","""A friend to man,"" Dr. Feifan Tang: a story of causative agent of trachoma, from ""Tang's virus"" to Chlamydia trachomatis, to ""Phylum Chlamydiae""","male"
"2","'I'll Never Sing With a Dance Band Again'-Holiday","none"
"3","(Jacqueline) Nancy Mary Adams, CBE, QSO 1926-2007","female"
"4","1779-1796: In Torino, Dom Rodrigo de Souza Coutinho, Portugese, future count of Linhares is minister for state","male"
"5","1991 RECIPIENT OF THE CLAY MINERALS SOCIETY DISTINGUISHED MEMBER AWARD JOE B. DIXON","male"
"6","1999 Visiting Research Professorship and Young Investigator Award - The 1999 CAG Visiting Research Professorship - Dr Lloyd R Sutherland","male"
"7","2001 Distinguished Scientific Achievement Award - Presented to John H. Hubbell - At the 46th Annual Meeting of the Health Physics Society, Cleveland, OH - 10-14 June 2001","male"
"8","2003 grand prize winner","none"
"9","2005 R W P King Award - Robert J. Adams","male"
"10","2006 Robley D. Evans Commemorative Medal - Presented to Ludwig Feinendegen at the 51st Annual Meeting of the Health Physics Society, Providence, Rhode Island - 25-29 June 2006","male"
"11","2008 Barringer Medal for Frank Kyte","male"
"12","2010 Nier Prize to Daniel Glavin Award","male"
"13","60th Birthday of professor Nobuo Tanaka","male"
"14","90-th anniversary of Feodor Ivanovich Ivashenko","male"
"15","90th anniversary of professor Jaroslav Krejci.","male"
"16","A Chinese palaeontologist, Ma Ting Ying (1899-1979): From coral growth-rings to global tectonics","male"
"17","A Remembrance: His Legacy and Science","none"
"18","A Tribute to Donald M. Britton (1923-2012), Canada's Premier Pteridologist","male"
"19","A Tribute to Judge William Wayne Justice","male"
"20","A Tribute to Xiangzhong ""Jerry'' Yang","male"
"21","A heroic law teacher: Dean Leonard Gering","male"
"22","A life for the marksmen. To the death of Wolfram Steude.","male"
"23","A life for the organs of his homeland - Mourning Winfried Schlepphorst","male"
"24","A man for all seasons","none"
"25","A master potter (Josiah Wedgwood)","male"
"26","A memorial tribute to Leo Valiani (1909-1999), historian and politician","male"
"27","A musician without retirement - Claus Bantzer ceases and makes it again","male"
"28","A note of appreciation: Brian H. Rudall","male"
"29","A pioneer in the world of advertising, Armando Testa","male"
"30","A remembrance of Tadeusz Zulinski (1910-1967)","male"
"31","A reminiscence in honor of Rob Roy Kelly","male"
"32","A teacher of doctrine and life - Filippo Turati","male"
"33","A tribute to Attila Szabo","male"
"34","A tribute to Howard A. Eder - 1917-2004","male"
"35","A tribute to Ingram Olkin","male"
"36","A tribute to JRME founder Allen Purdue Britton (Obituary)","male"
"37","A tribute to Jean-Michel Quinodoz","male"
"38","A tribute to Judge A. Leon Higginbotham: Higginbotham's third circuit jurisprudence","male"
"39","A tribute to Ninian Smart","male"
"40","A tribute to Professor Yves Pauleau","male"
"41","A tribute to Rainer Rosengren (1934-2004)","male"
"42","A tribute to V.D. Shadrikov on the occasion of his 60th birthday","male"
"43","A.I. Martiynov (On the 70th birthday)","none"
"44","ABOUT COLM TOIBIN A Profile by Stacey D'Erasmo","male"
"45","ACS AWARD FOR RESEARCH AT AN UNDERGRADUATE INSTITUTION Thomas J. Wenzel","male"
"46","ALBERTO REX GONZALEZ, KNOWLEDGE ON HIS EXCELLENCE IN ARCHEOLOGY","male"
"47","ALFRED BURGER AWARD IN MEDICINAL CHEMISTRY F. Ivy Carroll","male"
"48","ANN K.S. LAMBTON 1912-2008 OBITUARY","female"
"49","ANNIE V. DHONDT MEMORIAL VOLUME - INTRODUCTION","female"
"50","ANTONIE WLOSOK, philologist, had works published","female"
"51","ASEE ECE Division Frederick Emmons Terman Award - Russel Jacob (Jake) Baker","male"
"52","AUGUSTO BOAL (1931 - 2009)","male"
"53","Aage Niels Bohr obituary","male"
"54","About Samuel Delany","male"
"55","Acceptance of the Dana Medal of the Mineralogical Society of America for 2013","male"
"56","Acceptance of the Mineralogical Society of America Award for 2005","none"
"57","Activity of Wojciech Urbanski (1820-1903) on electrical engineering","male"
"58","Actor - Shelley Winters - b. 18/8/1920; d. 14/1/2006 - Obituary","female"
"59","Alain Rossier (1930-2006) - Obituary","male"
"60","Alan Blyth, 1929-2007","male"
"61","Alan Donald Wilson OBE (1928-2011) Obituary","male"
"62","Alan G. Birtch (February 3, 1932 to December 28, 2011): Early Transplantation Pioneer OBITUARY","male"
"63","Alastair Michael Douglas Porter OBITUARY","male"
"64","Alastair Vincent Campbell","male"
"65","Alberto Abbruzzese (1952-2011) Scientist who studied from amino acids to nanoparticles in anti-cancer therapy Obituary","male"
"66","Aldo Ricardo Castaneda, MD, PhD: What Is He Really Like?","male"
"67","Aleksandr Aleksandrovich Kaplyanskii (on his 80th birthday)","male"
"68","Aleksandr Danilovich Nozdrachev (To the 80th Anniversary)","male"
"69","Aleksandr Petrovich Krylov - In memoriam of the prominent scholar and oilman","male"
"70","Aleksandr Yakovlevich Lerner (September 7, 1913-April 6, 2004)","male"
"71","Alexander Grando - Ukrainian physician who founded and directed an internationally renowned museum of medical history - Obituary","male"
"72","Alexander Kossiakoff: His life and career, Part one","male"
"73","Alexander Stone Obituary","male"
"74","Alexander Yakovlevich Lerner (1913-2004)","male"
"75","Alfred Blalock. Surgeon, educator, and pioneer in shock and cardiac research","male"
"76","Ali Acerol - Obituary","male"
"77","Alice Munro","female"
"78","Allen Smith In memory","male"
"79","Alvin Novick - Physician and bat expert who became a prominent AIDS campaigner - Obituary","male"
"80","Alvinczi de Genere Szemere","male"
"81","Always worth a visit... Record Attendance at the NAVC Conference 2012 in Orlando/Florida","none"
"82","An account of the life and achievements of Miss Diana Beck, neurosurgeon (1902-1956)","female"
"83","Anatolii Aleksandrovich Ishchenko (On his 60th birthday)","male"
"84","Andre Jurres - In-memoriam","male"
"85","Andre Stephane Hamer - Obituary","male"
"86","Andrei Al'bertovich Muchnik (obituary)","male"
"87","Andrzej Szczeklik","male"
"88","Ann McPherson Obituary","female"
"89","Anna Isabella Davison - Obituary","female"
"90","Anna Lendrum Obituary","female"
"91","Anne Gall (nee Kirkby) - Obituary","female"
"92","Anne Mary Buck 1910-2005 OBE, BA, FMA, 1910-2005","female"
"93","Anne McKnight Obituary","female"
"94","Anniversary of the Hospital Therapy Department No 1, Therapy Faculty, Russian State Medical University (Part III)","none"
"95","Another look at Clement Greenberg","male"
"96","Anthony Dipple - In memoriam","male"
"97","Anthony Francis Rickards - Obituary","male"
"98","Anthony G. Hopwood: Academic Iconoclast and Entrepreneur 1944-2010 MEMORIAL","male"
"99","Anthony Martin Halliday, BSc, MB, ChB, FRCP, FBCS (1926-2008) - Obituary","male"
"100","Anthony Ray (1926-2009) Obituary","male"
