ethno;ethnoAlt;geoCountry;geoCountryAlt;score;script;full_name;gender;source
French;Jewish;FR;FR;1.7052529710328663;LATIN;pierre paul grivel;m;zbmath
Spanish;Portuguese;MX;MX;1.8777839501815448;LATIN;raul serapioni;m;zbmath
Portuguese;Portuguese;PT;BR;2.7590341081138856;LATIN;adriano moura;m;zbmath
German;Jewish;DE;DE;3.79753550368365;LATIN;ralf kieser;m;zbmath
Japanese;Japanese;JP;JP;4.876887975658412;LATIN;teppei ariyoshi;u;zbmath
German;Italian;MX;MX;2.342549433454036;LATIN;guillermo leon-de-la-barra;m;zbmath
Jewish;Jewish;FR;US;1.7522950487146352;LATIN;catherine bouloux marquet;f;zbmath
Azerbaijani;Dutch;AZ;NL;0.8798805522080151;LATIN;sabina pannek;f;zbmath
German;Jewish;DE;DE;4.0601077969972525;LATIN;ralf kemper;m;zbmath
German;Jewish;DE;DE;5.536133661613421;LATIN;karl breitung;m;zbmath
Indian;Indian;NZ;US;6.351424401137563;LATIN;sushil singh;u;zbmath
German;Jewish;DE;DE;3.5114429537926117;LATIN;clemens bernhardson;m;zbmath
German;Jewish;US;US;1.5239612800579891;LATIN;gregory gelles;m;zbmath
AfricanAmerican;HispanoLatino;US;US;1.4492070452606634;LATIN;lester arguelles;m;zbmath
German;German;GB;DE;1.226951173424652;LATIN;claude joachim hamann;m;zbmath
Czech;Czech;CA;GB;2.953864117361241;LATIN;martin slawski;m;zbmath
Romanian;Ukrainian;RO;UA;4.199291677578729;LATIN;vlad timofte;m;zbmath
Italian;Italian;IT;CA;4.984229206466707;LATIN;pasquale valentini;m;zbmath
Portuguese;Spanish;US;ES;3.476178376868232;LATIN;lourdes fernandes;f;zbmath
French;German;FR;DE;2.1471722075523165;LATIN;bruno crepon;m;zbmath
Austrian;Danish;US;US;3.469733653243761;LATIN;thomas farver;m;zbmath
Austrian;Italian;US;CR;4.620130675127;LATIN;michael porter;m;zbmath
Sri Lankan;Portuguese;US;CV;3.4206133570387083;LATIN;jorge drumond silva;m;zbmath
British;German;GB;US;1.372824083486245;LATIN;lewis hildyard;m;zbmath
German;German;DE;US;4.6661161754580585;LATIN;klaus haverkamp;m;zbmath
German;Jewish;DE;US;2.3208179741987722;LATIN;jost hinrich eschenburg;m;zbmath
Japanese;Japanese;GB;JP;4.8668574148148585;LATIN;takashi aoki;m;zbmath
South African;South African;CA;US;3.8911265590921684;LATIN;mirko muller;m;zbmath
Jewish;Indonesian;US;ID;2.0094320940980595;LATIN;herman erlichson;m;zbmath
Chinese;Chinese;CN;CN;1.7572717792504833;LATIN;jim clay;m;zbmath
Polish;Polish;PL;GB;5.893308721572617;LATIN;jerzy jezierski;m;zbmath
Jewish;Russian;RU;RU;2.222460263573469;LATIN;vitali wachtel;m;zbmath
Czech;Czech;GB;CA;3.7885968936764858;LATIN;martin soukenka;m;zbmath
Japanese;Japanese;JP;JP;3.672291242777416;LATIN;seiya haze;u;zbmath
Jewish;Russian;RU;RU;3.5213363110159035;LATIN;anatoly preygel;m;zbmath
Russian;Moldova;RU;MD;4.846565761980767;LATIN;tatiana filippova;f;zbmath
German;Jewish;DE;DE;3.3904333068172656;LATIN;joachim apel;m;zbmath
Irish;Irish;US;IE;4.223121559899379;LATIN;james mccollum;m;zbmath
Albanian;Albanian;AL;XK;4.108649264144488;LATIN;faton merovci;m;zbmath
German;Jewish;DE;DE;4.196810175730022;LATIN;goswin eisen;m;zbmath
German;Jewish;DE;DE;4.443082175488468;LATIN;silke gehrke;f;zbmath
Egyptian;Egyptian;EG;EG;2.610090550369648;LATIN;samy tindel;m;zbmath
Irish;Irish;US;IE;3.640828198286108;LATIN;daniel mcdonald;m;zbmath
German;Dutch;DE;US;3.00928384993509;LATIN;paul bosch;m;zbmath
Korean;Korean;US;US;6.356787750497174;LATIN;jae il lee;u;zbmath
Chinese;Chinese;CN;CN;0.12493283909632127;LATIN;dominic klyve;m;zbmath
Italian;Italian;CA;IT;3.0611206553695043;LATIN;mario dangelo;m;zbmath
Burmese;Swedish;GB;US;1.1786536008585762;LATIN;chris lynd;m;zbmath
Serbian;Serbian;CA;RS;5.0833044865087285;LATIN;marko matic;m;zbmath
Hungarian;Hungarian;CA;US;7.171832141973834;LATIN;andras nagy;m;zbmath
Russian;Russian;GB;US;6.224530958826477;LATIN;boris yakovlevich levin;m;zbmath
Russian;Russian;CA;RU;4.493484006953345;LATIN;sergey lototsky;m;zbmath
Greek;Greek;GR;GR;4.020342037616657;LATIN;polychronis xenikakis;m;zbmath
Jewish;French;FR;FR;2.01757580784508;LATIN;lionel bayle;m;zbmath
British;Irish;US;US;2.2973352998868672;LATIN;jonathan goodman;m;zbmath
Swedish;Dutch;US;US;2.8741384382967943;LATIN;robert cahn;m;zbmath
Jewish;Greek;LT;CA;2.9080894265653803;LATIN;john mardo;m;zbmath
Egyptian;Iraqi;EG;IQ;4.731295997157348;LATIN;alaa abdel-hamid;m;zbmath
Somalia;Somalia;CA;SO;5.457897628764894;LATIN;mohamed mosbah;m;zbmath
Russian;Russian;GB;RU;4.07538351891526;LATIN;elena tatievskaya;f;zbmath
Jewish;Jewish;FR;FI;1.7146737665598777;LATIN;marcel polakovic;m;zbmath
Polish;Polish;PL;GB;5.647771667654575;LATIN;rafal kolodziej;m;zbmath
Romanian;Moldova;RO;MD;4.542731766065662;LATIN;gheorghe bantas;m;zbmath
Congolese (Kinshasa);Jewish;CD;IL;0.7425112809406661;LATIN;rachel fouladi;f;zbmath
Polish;Polish;PL;GB;5.573530395963884;LATIN;magdalena bojarska;f;zbmath
Korean;Korean;KR;KR;4.821071538943978;LATIN;jungmin ahn;m;zbmath
Japanese;Japanese;JP;JP;4.3236695996561965;LATIN;koji okuguchi;u;zbmath
Japanese;Japanese;JP;NZ;4.46263683050216;LATIN;takashi amisaki;u;zbmath
Turkish;Armenian;TR;TR;4.965637540996452;LATIN;zeynep kalaylioglu;f;zbmath
Jewish;Polish;PL;PL;2.974184415521144;LATIN;adam szpiro;m;zbmath
Austrian;Jewish;US;US;3.316987385525615;LATIN;elias wagner;m;zbmath
Polish;Polish;PL;GB;0.9453647562092756;LATIN;marek cezary zdun;m;zbmath
Polish;Jewish;PL;PL;4.94760586324217;LATIN;janusz gorski;m;zbmath
Turkish;Indonesian;TR;ID;3.0244267860830374;LATIN;bahri turan;m;zbmath
Spanish;Spanish;ES;US;3.1418322980197093;LATIN;luis giraldo-montes;m;zbmath
Egyptian;Pakistanese;GB;PK;4.345299910456704;LATIN;shahid kamal;m;zbmath
German;French;CA;US;4.178960690306768;LATIN;joseph conrad;m;zbmath
Serbian;Serbian;GB;FR;6.670678469662462;LATIN;milovan jovanovic;m;zbmath
Algerian;Moroccan;DZ;MA;3.586308402116571;LATIN;mustapha cheggag;m;zbmath
Spanish;Spanish;ES;GB;4.026304381089978;LATIN;jesus fernandez-sanchez;m;zbmath
Spanish;British;ES;VE;4.055611820467231;LATIN;jaume jordan;m;zbmath
Portuguese;Spanish;AR;CO;2.807711292938396;LATIN;mauricio costa;m;zbmath
Irish;British;IE;US;2.8141145238045384;LATIN;stephen sturgeon;m;zbmath
Turkish;Turkish;FR;GB;3.5654390995954506;LATIN;omer altun;m;zbmath
German;Dutch;DE;NL;3.815734599508366;LATIN;hans wolters;m;zbmath
French;French;CA;US;2.679104023260473;LATIN;daniel vallieres;m;zbmath
Portuguese;Portuguese;AR;VE;5.582406545186858;LATIN;rafael castro;m;zbmath
Flemish;Flemish;US;BE;1.9368868820363327;LATIN;danny beckers;m;zbmath
French;Jewish;FR;FR;1.6709576438013507;LATIN;pierre loic meliot;m;zbmath
Italian;Jewish;CL;CL;2.8809375611942025;LATIN;claudio jerez;m;zbmath
British;British;US;CA;2.3733099597960763;LATIN;steven tedford;m;zbmath
British;British;PE;VE;4.651000922828788;LATIN;pedro jordan;m;zbmath
Ukrainian;Jewish;UA;UA;5.521385296757472;LATIN;oksana medvid;f;zbmath
Hungarian;German;US;US;1.4423007934796557;LATIN;mark weil;m;zbmath
Portuguese;Spanish;CV;ES;4.8291708711003;LATIN;manuel marques;m;zbmath
Japanese;Japanese;GB;US;5.4033476114354535;LATIN;shoichi suzuki;u;zbmath
Russian;Russian;RU;GB;5.879401166043763;LATIN;ekaterina eliseeva;f;zbmath
German;Jewish;DE;DE;3.4318698499943925;LATIN;eugen krug;m;zbmath
French;Flemish;CR;US;4.01982438391962;LATIN;william vautaw;m;zbmath
Irish;Irish;IE;US;3.50990616058317;LATIN;richard mansfield;m;zbmath
Tunisian;Tunisian;TN;TN;5.651892719300507;LATIN;chokri abdelkefi;m;zbmath
Portuguese;Portuguese;PT;AR;3.9903572306321857;LATIN;luis sequeira;m;zbmath
Pakistanese;Pakistanese;IN;PK;4.535555268527767;LATIN;muhammad numan;m;zbmath
French;German;US;US;2.38367767529879;LATIN;gregory werner;m;zbmath
Irish;French;IE;CA;3.4768916598985418;LATIN;annie raymond;f;zbmath
French;Jewish;FR;FR;3.4293638635363726;LATIN;nicolas gastineau;m;zbmath
Spanish;Spanish;AR;CO;3.8854320428190983;LATIN;leonardo aguirre;m;zbmath
Turkish;Armenian;TR;TR;4.552623613224241;LATIN;gozde ozkan;f;zbmath
British;Irish;GB;GB;0.9449743001597032;LATIN;ross drynan;m;zbmath
German;German;AT;DE;4.196011165861914;LATIN;matthias birkner;m;zbmath
Jewish;Irish;US;US;2.9836817018242896;LATIN;douglas john white;m;zbmath
Chinese;Chinese;MX;MX;7.440112104569423;LATIN;davy ho chan;m;zbmath
Spanish;British;MX;PE;3.0889732497099316;LATIN;yolanda moreno;f;zbmath
Polish;Jewish;PL;PL;4.507453056822233;LATIN;bartlomiej bosek;m;zbmath
Portuguese;Portuguese;PT;US;2.9251698592029465;LATIN;isabel fraga alves;f;zbmath
Korean;Korean;GB;GB;5.719725397102254;LATIN;jin ho choi;m;zbmath
Spanish;Spanish;MX;PH;3.2015205649066627;LATIN;ruben agapito;m;zbmath
Indian;Indian;NZ;CA;6.77679192111396;LATIN;bhopinder singh;m;zbmath
Czech;Czech;GB;CZ;5.273197436473375;LATIN;pavel jelinek;m;zbmath
Belarussian;Moldova;BY;GB;3.189827779175594;LATIN;andrei susea;m;zbmath
British;British;CA;NZ;3.149189315103337;LATIN;david mckinnon;m;zbmath
Chinese;Chinese;TW;TW;5.6153512880459555;LATIN;john ren chen;m;zbmath
German;Jewish;DE;DE;2.5878951527798826;LATIN;paul horwich;m;zbmath
AfricanAmerican;HispanoLatino;US;US;1.0132648301313083;LATIN;darrel hankerson;m;zbmath
Senegalese;Mali;SN;ML;4.473719076609637;LATIN;oumar diankha;m;zbmath
Japanese;Japanese;JP;GB;4.917759052526968;LATIN;toshiyuki morita;m;zbmath
Austrian;Austrian;US;CA;3.227870832468158;LATIN;michael miesener;m;zbmath
Chinese;Chinese;CN;CN;1.6947770846798302;LATIN;carrie yam;f;zbmath
German;German;DE;GB;4.0406486638256665;LATIN;torsten weller;m;zbmath
German;German;DE;CH;3.532251311309484;LATIN;kathrin fischer;f;zbmath
French;British;CL;VE;3.5627891167102543;LATIN;hector allende;m;zbmath
Serbian;Serbian;GB;RS;4.333094086778018;LATIN;miroslav asic;m;zbmath
Japanese;Japanese;JP;JP;4.261980647380333;LATIN;makoto idzumi;u;zbmath
Jewish;French;FR;FR;1.736710334532817;LATIN;michel brestovski;m;zbmath
Finnish;Finnish;FI;GB;-0.2753797976992034;LATIN;outi elina maasalo;f;zbmath
German;German;GB;CH;2.9451074324859383;LATIN;oliver pfaff;m;zbmath
British;British;NZ;GB;3.3715149155416766;LATIN;andrew clark;m;zbmath
Jewish;Jewish;CA;SK;3.0625163074415784;LATIN;david stern;m;zbmath
German;Flemish;DE;BE;4.019822747757519;LATIN;dirk langemann;m;zbmath
French;Jewish;FR;FR;2.2597452415334813;LATIN;marie francoise delcroix;f;zbmath
Egyptian;Tunisian;EG;TN;3.330171084633069;LATIN;hatem najar;m;zbmath
Jewish;Jewish;RU;UA;6.615795427093707;LATIN;vladimir lifshitz;m;zbmath
Korean;Korean;KR;KR;5.013057879901893;LATIN;mihyun kang;f;zbmath
Japanese;Japanese;JP;NZ;4.174408114567563;LATIN;tatsuo sakai;m;zbmath
Jewish;Russian;RU;RU;2.8984389880443864;LATIN;alexander doktor;m;zbmath
Indian;Indian;IN;US;2.374324499868829;LATIN;suhasini subba rao;f;zbmath
Norwegian;British;US;TT;3.9516486730410056;LATIN;roger jones;m;zbmath
Irish;Irish;US;IE;2.004336308473816;LATIN;david matthew kelly;m;zbmath
Irish;British;US;US;0.8692242623135424;LATIN;diane hope;f;zbmath
Flemish;Flemish;GB;BE;3.4182218728958147;LATIN;marc wouts;m;zbmath
German;Jewish;DE;DE;3.7420427223465085;LATIN;horst kreth;m;zbmath
Swedish;British;US;US;1.6631548422143672;LATIN;mark nixon;m;zbmath
Romanian;Jewish;RO;RO;4.963818898011239;LATIN;florin vulpescu-jalea;m;zbmath
Danish;Irish;US;IE;3.502228112199015;LATIN;thomas king;m;zbmath
Japanese;Japanese;JP;NZ;4.620848750947753;LATIN;kenji nishida;m;zbmath
German;German;DE;GB;2.5376872599530818;LATIN;christian doring;m;zbmath
Russian;Russian;GB;US;3.4224005972731195;LATIN;norman levin;m;zbmath
Greek;Greek;CY;CY;3.5737364816305637;LATIN;andreas floer;m;zbmath
Russian;Jewish;RU;RU;5.09107604880927;LATIN;vitaly ushakov;m;zbmath
Japanese;Japanese;JP;US;4.806199169518844;LATIN;tomonori yamada;m;zbmath
Irish;Irish;US;IE;3.1809789965881405;LATIN;stephen williamson;m;zbmath
Chinese;Chinese;CN;CN;1.3973204354591129;LATIN;kent cantwell;m;zbmath
Russian;Jewish;RU;RU;4.038193034324321;LATIN;igor samoilovych;m;zbmath
German;British;US;NZ;1.410475178688708;LATIN;james murray hill;m;zbmath
Danish;Danish;DK;GB;4.9327802456426015;LATIN;henrik vosegaard;m;zbmath
Italian;Italian;US;GB;0.09847045700309948;LATIN;leonard kwuida;m;zbmath
German;German;CA;GB;1.4244413057245515;LATIN;gordon volk;m;zbmath
Tunisian;Turkish;TN;TR;2.2918621593220965;LATIN;hamdi zorgati;m;zbmath
Slovakian;Hungarian;SK;SK;4.332050847487613;LATIN;lubica stanekova;f;zbmath
Italian;Jewish;IT;IT;4.313892847267976;LATIN;massimiliano pastore;m;zbmath
Jewish;Jewish;US;FR;1.3794575946775525;LATIN;catherine pardoux;f;zbmath
Jewish;Jewish;US;CA;2.11376840039221;LATIN;ernest rothman;m;zbmath
Hungarian;Jewish;HU;HU;4.810344957775472;LATIN;emese vargyas;f;zbmath
Indonesian;Indonesian;ID;ID;3.5564059629209197;LATIN;lutfi avazpour;u;zbmath
Hungarian;Hungarian;GB;HU;5.4167780298655455;LATIN;zoltan boros;m;zbmath
German;Jewish;DE;DE;4.190359467361645;LATIN;reiner kallenborn;m;zbmath
Japanese;Japanese;JP;JP;4.0473368076100025;LATIN;taro takimoto;m;zbmath
Croat;Serbian;HR;RS;4.206099779771245;LATIN;gabrijela grujic;f;zbmath
Russian;Russian;RU;US;4.698213399274949;LATIN;dmitry tamarkin;m;zbmath
Vietnamese;Vietnamese;US;GB;6.1401116919819225;LATIN;cuong le;u;zbmath
Polish;Polish;PL;GB;1.2631621240977569;LATIN;maria zofia banaszczyk;f;zbmath
Turkish;Turkish;TR;US;1.011596223099197;LATIN;mehmet namik oguztoereli;m;zbmath
Polish;Polish;PL;GB;1.978360286441096;LATIN;irena lasiecka;f;zbmath
British;British;US;CA;1.7250109826489075;LATIN;gary greenfield;m;zbmath
Spanish;Spanish;ES;US;2.9416173813065942;LATIN;rafael munoz-sola;m;zbmath
Polish;Jewish;PL;PL;4.76976863244305;LATIN;tomasz gorazd;m;zbmath
Japanese;Japanese;JP;JP;3.940148855517647;LATIN;seiya abe;m;zbmath
Russian;Russian;RU;US;0.42720881544339456;LATIN;alexei yu karlovich;m;zbmath
Austrian;Swedish;AT;SE;1.8586990653450304;LATIN;ingrid glad;f;zbmath
Algerian;Sudanese;DZ;SD;3.690887131150909;LATIN;salah drabla;m;zbmath
British;British;GB;AU;2.2465273441363505;LATIN;malcolm cousland;m;zbmath
Japanese;Japanese;JP;JP;4.162094652381708;LATIN;kunio kakie;u;zbmath
Japanese;Japanese;US;GB;5.314312182926397;LATIN;hideki nakamura;m;zbmath
German;Jewish;DE;DE;4.4605236375272455;LATIN;philipp bodewig;m;zbmath
Indian;Pakistanese;IN;IN;2.307775299152929;LATIN;avi bick;m;zbmath
Korean;Korean;GB;GB;6.913502853909397;LATIN;soo jin kim;f;zbmath
Polish;Jewish;PL;PL;5.511451944170536;LATIN;maciej dunajski;m;zbmath
Swedish;Irish;US;IE;2.852498229936515;LATIN;daniel davison;m;zbmath
Indian;Indian;IN;CA;3.5018993505704703;LATIN;meenu verma;f;zbmath
Polish;British;CA;GB;0.8796006856464301;LATIN;stephen cowin;m;zbmath
Bulgarian;Bulgarian;BG;US;4.721063247170422;LATIN;veska noncheva;f;zbmath
Greek;Greek;GR;GR;4.490193929315187;LATIN;stavros kousidis;m;zbmath
Spanish;Spanish;TT;CO;6.2394790970521035;LATIN;carlos garcia;m;zbmath
Russian;Russian;RU;US;5.162969438385477;LATIN;andrey gromov;m;zbmath
Chinese;Chinese;CN;CN;1.4657419457101997;LATIN;penny whiting;f;zbmath
Jewish;German;DE;GB;3.4627046592218704;LATIN;arthur rothstein;m;zbmath
British;TrinidadTobago;TT;TT;5.0572412451522695;LATIN;samuel alexander;m;zbmath
Japanese;Japanese;JP;JP;4.3114464160070085;LATIN;miwa iwakura;f;zbmath
French;Jewish;FR;FR;1.933527960765257;LATIN;maurice goursat;m;zbmath
Polish;Jewish;PL;PL;4.231794000149225;LATIN;krystyna gozdalska;f;zbmath
Romanian;Romanian;RO;GB;4.084259948005063;LATIN;alexandru ghitza;m;zbmath
Saudi;Egyptian;SA;GB;6.391766461947298;LATIN;abdullah saleh;m;zbmath
Iranian;Iranian;US;IR;3.8756436666651246;LATIN;nader fallah;m;zbmath
Turkish;Armenian;TR;TR;4.420826488119103;LATIN;serkan gugercin;m;zbmath
German;German;US;DE;3.0170603833968457;LATIN;thomas knispel;m;zbmath
German;Jewish;DE;US;0.9155185496869928;LATIN;paul ribenboim;m;zbmath
Romanian;Jewish;RO;RO;4.63281448818726;LATIN;viorel cornea;m;zbmath
French;German;FR;FR;1.7804816140769588;LATIN;yann peresse;m;zbmath
Korean;Korean;KR;KR;4.805634848780941;LATIN;sung hoon hong;u;zbmath
German;German;DE;CA;3.4346328463933;LATIN;paul pinsky;m;zbmath
Italian;Italian;IT;GB;4.44700888992643;LATIN;enrico massa;m;zbmath
British;HispanoLatino;US;US;1.681860197681473;LATIN;brad biggerstaff;m;zbmath
Liberia;Irish;LR;US;2.6745108909386395;LATIN;stephen brooks;m;zbmath
Polish;Polish;AU;GB;5.972077908429236;LATIN;stanislaw wronski;m;zbmath
