country;countryAlt;countryFirstName;countryLastName;countryName;region;score;scoreFirstName;scoreLastName;script;subRegion;topRegion;full_name;gender;source
FR;FR;FR;FR;France;Europe;3.4378093895197686;1.4076717052864367;2.329176558307683;LATIN;Western Europe;Europe;pierre paul grivel;m;zbmath
IT;IT;EE;IT;Italy;Europe;2.8067433351193065;2.5049929400534867;1.990920765472001;LATIN;Southern Europe;Europe;raul serapioni;m;zbmath
PT;ES;IT;PT;Portugal;Europe;2.88578231486986;1.7977172571229387;1.520444788216491;LATIN;Southern Europe;Europe;adriano moura;m;zbmath
DE;ZA;DE;ZA;Germany;Europe;2.7699164263027094;1.988828430735555;2.1944787691761376;LATIN;Western Europe;Europe;ralf kieser;m;zbmath
JP;JP;JP;JP;Japan;Asia;3.8396014772848366;2.528460158306136;3.1804988214470886;LATIN;Eastern Asia;Asia;teppei ariyoshi;u;zbmath
ES;FR;ES;ML;Spain;Europe;2.160198684004028;3.854247523453841;-1.2143943084474802;LATIN;Southern Europe;Europe;guillermo leon-de-la-barra;m;zbmath
FR;FR;IE;FR;France;Europe;3.3411345043835015;0.345996794372869;2.54892068606562;LATIN;Western Europe;Europe;catherine bouloux marquet;f;zbmath
DE;DE;BA;DE;Germany;Europe;2.9931809166041123;2.667114283858264;2.46478231014262;LATIN;Western Europe;Europe;sabina pannek;f;zbmath
DE;DE;DE;DE;Germany;Europe;3.331116873912195;1.988828430735555;2.0182905151721964;LATIN;Western Europe;Europe;ralf kemper;m;zbmath
DE;AT;DE;DE;Germany;Europe;5.437196630209496;4.558081028150425;2.7509482362718414;LATIN;Western Europe;Europe;karl breitung;m;zbmath
IN;NP;NP;IN;India;Asia;3.7495632096844975;2.8703982731322277;3.6702128947559087;LATIN;Southern Asia;Asia;sushil singh;u;zbmath
SE;AT;AT;SE;Sweden;Europe;2.0818467127935056;2.657632105647956;2.4024969711123774;LATIN;Northern Europe;Europe;clemens bernhardson;m;zbmath
DE;IL;IL;DE;Germany;Europe;2.342972968970284;2.013556299821316;1.6677933857937035;LATIN;Western Europe;Europe;gregory gelles;m;zbmath
ES;IE;ZA;ES;Spain;Europe;1.9788311385109816;0.6062483200528894;2.188183787787152;LATIN;Southern Europe;Europe;lester arguelles;m;zbmath
DE;DE;FR;DE;Germany;Europe;2.655354949715144;0.30815914939776;1.9184136005698864;LATIN;Western Europe;Europe;claude joachim hamann;m;zbmath
CZ;DE;SK;PL;Czech Republic;Europe;2.42451644607923;3.485274088810552;2.6929697098954994;LATIN;Eastern Europe;Europe;martin slawski;m;zbmath
RO;MD;UA;RO;Romania;Europe;4.637350120342736;3.573734180495121;3.472809590518432;LATIN;Eastern Europe;Europe;vlad timofte;m;zbmath
IT;IT;IT;IT;Italy;Europe;4.864014140071876;3.968967386437262;2.4755333410729845;LATIN;Southern Europe;Europe;pasquale valentini;m;zbmath
IN;ES;ES;PT;India;Asia;3.2030959549227482;2.8554172342978776;3.4281798663849083;LATIN;Southern Asia;Asia;lourdes fernandes;f;zbmath
FR;FR;CH;FR;France;Europe;3.864716472492995;2.993064049537155;3.1091107481517763;LATIN;Western Europe;Europe;bruno crepon;m;zbmath
AT;IE;AT;IL;Austria;Europe;3.2935287121321646;4.0894576561707545;1.6485724800228951;LATIN;Western Europe;Europe;thomas farver;m;zbmath
IE;AT;AT;GB;Ireland;Europe;3.9770478537681817;3.856759419473204;1.5913364922844735;LATIN;Northern Europe;Europe;michael porter;m;zbmath
PT;ES;PT;LK;Portugal;Europe;3.451322316347022;-0.2408212542946259;4.05582017700121;LATIN;Southern Europe;Europe;jorge drumond silva;m;zbmath
GB;GB;ZM;GB;United Kingdom of Great Britain and Northern Ireland;Europe;3.9453827021564503;1.8744408566170327;3.25830757464652;LATIN;Northern Europe;Europe;lewis hildyard;m;zbmath
DE;NL;AT;NL;Germany;Europe;4.098851370866692;3.6929126778964947;2.6599540662787002;LATIN;Western Europe;Europe;klaus haverkamp;m;zbmath
DE;DE;DE;DE;Germany;Europe;3.166940967439733;0.5921639256694742;3.1444766198415657;LATIN;Western Europe;Europe;jost hinrich eschenburg;m;zbmath
JP;JP;JP;JP;Japan;Asia;4.299601493402561;3.997279076971549;2.993469550487215;LATIN;Eastern Asia;Asia;takashi aoki;m;zbmath
CZ;DE;RS;ZA;Czech Republic;Europe;1.4845449346821935;2.6347661466821104;2.3569565663274483;LATIN;Eastern Europe;Europe;mirko muller;m;zbmath
IL;SE;NL;IS;Israel;Asia;0.7098419789531109;1.461188500104445;0.6535662238460379;LATIN;Western Asia;Asia;herman erlichson;m;zbmath
GB;LR;SE;GB;United Kingdom of Great Britain and Northern Ireland;Europe;0.4094505320694433;0.2459705675513021;0.5756340100698617;LATIN;Northern Europe;Europe;jim clay;m;zbmath
PL;PL;PL;PL;Poland;Europe;5.555392831167062;4.8977439489620505;3.383968253735004;LATIN;Eastern Europe;Europe;jerzy jezierski;m;zbmath
DE;DE;MD;DE;Germany;Europe;2.581366108990679;2.079335904197839;1.9402278334364376;LATIN;Western Europe;Europe;vitali wachtel;m;zbmath
CZ;SK;SK;BY;Czech Republic;Europe;2.3669105591462745;3.485274088810552;-0.3547603635074664;LATIN;Eastern Europe;Europe;martin soukenka;m;zbmath
JP;JP;JP;JP;Japan;Asia;2.156672437710333;0.9777481298633226;1.0570101185252738;LATIN;Eastern Asia;Asia;seiya haze;u;zbmath
IL;RU;RU;IL;Israel;Asia;1.041266192051961;3.8033302522639896;-0.10965002406871703;LATIN;Western Asia;Asia;anatoly preygel;m;zbmath
RU;MD;MD;RU;Russian Federation;Europe;4.8197841135591295;4.6145565357985285;3.182665975052688;LATIN;Eastern Europe;Europe;tatiana filippova;f;zbmath
DE;NO;DE;DE;Germany;Europe;2.9566414638700897;2.5258563648932726;1.5270313884385902;LATIN;Western Europe;Europe;joachim apel;m;zbmath
IE;GB;IE;IE;Ireland;Europe;5.319462464415895;3.9526692695156003;2.5628469115151686;LATIN;Northern Europe;Europe;james mccollum;m;zbmath
DZ;AL;GM;TR;Algeria;Africa;-1.887947501171779;0.3790907268553392;-1.1547535751274214;LATIN;Northern Africa;Africa;faton merovci;m;zbmath
DE;DE;DE;DE;Germany;Europe;2.750767937688784;1.379993028672025;1.6458393680758312;LATIN;Western Europe;Europe;goswin eisen;m;zbmath
DE;DE;DE;DE;Germany;Europe;3.7077851342327635;2.054946398705564;2.8057217525583247;LATIN;Western Europe;Europe;silke gehrke;f;zbmath
FR;IN;EG;GB;France;Europe;-0.2776437770820185;0.765584478237894;-0.14291553638178228;LATIN;Western Europe;Europe;samy tindel;m;zbmath
IE;GB;CH;GB;Ireland;Europe;3.9682311085159396;2.9472731264352166;3.5804979545338482;LATIN;Northern Europe;Europe;daniel mcdonald;m;zbmath
DE;NL;DE;NL;Germany;Europe;3.5053025058559046;3.546902533597984;1.8040710513325808;LATIN;Western Europe;Europe;paul bosch;m;zbmath
KR;HK;KR;KR;Korea, Republic of;Asia;6.44784723380298;0.353945306230189;6.942428823312781;LATIN;Eastern Asia;Asia;jae il lee;u;zbmath
LS;ZM;ZM;UA;Lesotho;Africa;-1.0494782402987133;1.9039500584787048;-1.5585669464467702;LATIN;Southern Africa;Africa;dominic klyve;m;zbmath
IT;HR;HR;IT;Italy;Europe;3.2845531559681107;3.2967824669271515;1.6287475256387882;LATIN;Southern Europe;Europe;mario dangelo;m;zbmath
IE;GB;BE;IE;Ireland;Europe;0.7161883445709704;1.1548874214269766;0.7412631120287074;LATIN;Northern Europe;Europe;chris lynd;m;zbmath
RS;RS;SI;RS;Serbia;Europe;4.120062650282601;3.753412661235705;1.9397352547932152;LATIN;Southern Europe;Europe;marko matic;m;zbmath
HU;EG;HU;HU;Hungary;Europe;4.856281336800566;3.3826050747322376;3.5429452379340787;LATIN;Eastern Europe;Europe;andras nagy;m;zbmath
RU;IL;RU;RU;Russian Federation;Europe;2.2505355105295366;1.3192442792681924;1.4797608650556449;LATIN;Eastern Europe;Europe;boris yakovlevich levin;m;zbmath
UA;RU;RU;UA;Ukraine;Europe;4.520967656399672;5.346027332967637;3.2461305305701837;LATIN;Eastern Europe;Europe;sergey lototsky;m;zbmath
GR;GR;GR;GR;Greece;Europe;3.768220929200569;2.2885583662602955;3.3263552978908857;LATIN;Southern Europe;Europe;polychronis xenikakis;m;zbmath
